rank:252 |send count:5 | recv count: 5 |total Time:3.138951 |compute Time:0.000011 |commuTime:1.981020|IO Time:0.000000
rank:258 |send count:23 | recv count: 19 |total Time:3.143869 |compute Time:0.000013 |commuTime:1.968930|IO Time:0.000000
rank:259 |send count:5 | recv count: 5 |total Time:3.144017 |compute Time:0.000007 |commuTime:1.960108|IO Time:0.000000
rank:264 |send count:9 | recv count: 10 |total Time:3.171764 |compute Time:0.000010 |commuTime:1.957769|IO Time:0.000000
rank:265 |send count:6 | recv count: 6 |total Time:3.171842 |compute Time:0.000009 |commuTime:1.948956|IO Time:0.000000
rank:270 |send count:4 | recv count: 4 |total Time:3.178765 |compute Time:0.000015 |commuTime:1.946852|IO Time:0.000000
rank:271 |send count:6 | recv count: 6 |total Time:3.178760 |compute Time:0.000006 |commuTime:1.938199|IO Time:0.000000
rank:276 |send count:8 | recv count: 8 |total Time:3.201912 |compute Time:0.000015 |commuTime:1.935905|IO Time:0.000000
rank:277 |send count:9 | recv count: 9 |total Time:3.202352 |compute Time:0.000008 |commuTime:1.926983|IO Time:0.000000
rank:282 |send count:6 | recv count: 6 |total Time:3.211356 |compute Time:0.000012 |commuTime:1.924031|IO Time:0.000000
rank:283 |send count:6 | recv count: 6 |total Time:3.211431 |compute Time:0.000010 |commuTime:1.915305|IO Time:0.000000
rank:289 |send count:7 | recv count: 8 |total Time:3.237279 |compute Time:0.000010 |commuTime:1.905743|IO Time:0.000000
rank:288 |send count:5 | recv count: 5 |total Time:3.237694 |compute Time:0.000011 |commuTime:1.914895|IO Time:0.000000
rank:294 |send count:7 | recv count: 7 |total Time:3.243824 |compute Time:0.000013 |commuTime:1.903349|IO Time:0.000000
rank:295 |send count:4 | recv count: 4 |total Time:3.243835 |compute Time:0.000007 |commuTime:1.894298|IO Time:0.000000
rank:300 |send count:5 | recv count: 5 |total Time:3.266866 |compute Time:0.000010 |commuTime:1.892141|IO Time:0.000000
rank:301 |send count:6 | recv count: 6 |total Time:3.266942 |compute Time:0.000007 |commuTime:1.883030|IO Time:0.000000
rank:306 |send count:13 | recv count: 9 |total Time:3.276909 |compute Time:0.000017 |commuTime:1.880748|IO Time:0.000000
rank:307 |send count:13 | recv count: 11 |total Time:3.276921 |compute Time:0.000010 |commuTime:1.871557|IO Time:0.000000
rank:312 |send count:9 | recv count: 9 |total Time:3.303173 |compute Time:0.000014 |commuTime:1.869396|IO Time:0.000000
rank:313 |send count:7 | recv count: 7 |total Time:3.303131 |compute Time:0.000009 |commuTime:1.860402|IO Time:0.000000
rank:318 |send count:7 | recv count: 7 |total Time:3.307271 |compute Time:0.000012 |commuTime:1.858236|IO Time:0.000000
rank:319 |send count:6 | recv count: 6 |total Time:3.307327 |compute Time:0.000008 |commuTime:1.849360|IO Time:0.000000
rank:325 |send count:19 | recv count: 14 |total Time:3.331632 |compute Time:0.000008 |commuTime:1.838521|IO Time:0.000000
rank:324 |send count:11 | recv count: 11 |total Time:3.331941 |compute Time:0.000013 |commuTime:1.848112|IO Time:0.000000
rank:330 |send count:7 | recv count: 7 |total Time:3.341640 |compute Time:0.000012 |commuTime:1.836046|IO Time:0.000000
rank:331 |send count:4 | recv count: 4 |total Time:3.341684 |compute Time:0.000008 |commuTime:1.826960|IO Time:0.000000
rank:336 |send count:11 | recv count: 10 |total Time:3.367913 |compute Time:0.000009 |commuTime:1.824372|IO Time:0.000000
rank:337 |send count:11 | recv count: 11 |total Time:3.368055 |compute Time:0.000009 |commuTime:1.815490|IO Time:0.000000
rank:342 |send count:7 | recv count: 7 |total Time:3.372317 |compute Time:0.000013 |commuTime:1.812680|IO Time:0.000000
rank:343 |send count:11 | recv count: 11 |total Time:3.372389 |compute Time:0.000007 |commuTime:1.803370|IO Time:0.000000
rank:348 |send count:4 | recv count: 4 |total Time:3.397740 |compute Time:0.000010 |commuTime:1.800585|IO Time:0.000000
rank:349 |send count:23 | recv count: 25 |total Time:3.397839 |compute Time:0.000014 |commuTime:1.791456|IO Time:0.000000
rank:354 |send count:9 | recv count: 10 |total Time:3.404652 |compute Time:0.000016 |commuTime:1.788647|IO Time:0.000000
rank:355 |send count:15 | recv count: 16 |total Time:3.404686 |compute Time:0.000017 |commuTime:1.779853|IO Time:0.000000
rank:361 |send count:6 | recv count: 6 |total Time:3.432734 |compute Time:0.000006 |commuTime:1.769721|IO Time:0.000000
rank:360 |send count:9 | recv count: 10 |total Time:3.433100 |compute Time:0.000015 |commuTime:1.779078|IO Time:0.000000
rank:366 |send count:9 | recv count: 9 |total Time:3.440205 |compute Time:0.000015 |commuTime:1.767759|IO Time:0.000000
rank:367 |send count:15 | recv count: 15 |total Time:3.440194 |compute Time:0.000009 |commuTime:1.758956|IO Time:0.000000
rank:372 |send count:5 | recv count: 5 |total Time:3.463018 |compute Time:0.000014 |commuTime:1.753224|IO Time:0.000000
rank:373 |send count:15 | recv count: 15 |total Time:3.463053 |compute Time:0.000015 |commuTime:1.742741|IO Time:0.000000
rank:378 |send count:7 | recv count: 7 |total Time:3.473272 |compute Time:0.000014 |commuTime:1.734444|IO Time:0.000000
rank:379 |send count:5 | recv count: 5 |total Time:3.473385 |compute Time:0.000011 |commuTime:1.723784|IO Time:0.000000
rank:384 |send count:15 | recv count: 15 |total Time:3.497951 |compute Time:0.000015 |commuTime:1.719214|IO Time:0.000000
rank:385 |send count:6 | recv count: 6 |total Time:3.498052 |compute Time:0.000010 |commuTime:1.706179|IO Time:0.000000
rank:390 |send count:6 | recv count: 6 |total Time:3.504847 |compute Time:0.000016 |commuTime:1.703808|IO Time:0.000000
rank:391 |send count:5 | recv count: 5 |total Time:3.504995 |compute Time:0.000011 |commuTime:1.696135|IO Time:0.000000
rank:397 |send count:5 | recv count: 5 |total Time:3.528499 |compute Time:0.000011 |commuTime:1.686316|IO Time:0.000000
rank:396 |send count:9 | recv count: 9 |total Time:3.528817 |compute Time:0.000015 |commuTime:1.695545|IO Time:0.000000
rank:402 |send count:9 | recv count: 8 |total Time:3.536950 |compute Time:0.000013 |commuTime:1.684662|IO Time:0.000000
rank:403 |send count:27 | recv count: 22 |total Time:3.537004 |compute Time:0.000014 |commuTime:1.675470|IO Time:0.000000
rank:408 |send count:5 | recv count: 5 |total Time:3.563782 |compute Time:0.000010 |commuTime:1.672840|IO Time:0.000000
rank:409 |send count:11 | recv count: 9 |total Time:3.563772 |compute Time:0.000007 |commuTime:1.663948|IO Time:0.000000
rank:414 |send count:21 | recv count: 18 |total Time:3.569817 |compute Time:0.000018 |commuTime:1.661722|IO Time:0.000000
rank:415 |send count:5 | recv count: 5 |total Time:3.569853 |compute Time:0.000006 |commuTime:1.652834|IO Time:0.000000
rank:420 |send count:18 | recv count: 18 |total Time:3.593114 |compute Time:0.000014 |commuTime:1.652191|IO Time:0.000000
rank:421 |send count:27 | recv count: 27 |total Time:3.593492 |compute Time:0.000015 |commuTime:1.643172|IO Time:0.000000
rank:426 |send count:18 | recv count: 21 |total Time:3.605292 |compute Time:0.000012 |commuTime:1.641225|IO Time:0.000000
rank:427 |send count:4 | recv count: 4 |total Time:3.605305 |compute Time:0.000005 |commuTime:1.632677|IO Time:0.000000
rank:433 |send count:9 | recv count: 7 |total Time:3.627406 |compute Time:0.000009 |commuTime:1.619554|IO Time:0.000000
rank:432 |send count:6 | recv count: 6 |total Time:3.627709 |compute Time:0.000011 |commuTime:1.632242|IO Time:0.000000
rank:438 |send count:11 | recv count: 10 |total Time:3.636873 |compute Time:0.000015 |commuTime:1.618374|IO Time:0.000000
rank:439 |send count:4 | recv count: 4 |total Time:3.636991 |compute Time:0.000009 |commuTime:1.609706|IO Time:0.000000
rank:444 |send count:9 | recv count: 9 |total Time:3.659785 |compute Time:0.000013 |commuTime:1.607234|IO Time:0.000000
rank:445 |send count:8 | recv count: 8 |total Time:3.659895 |compute Time:0.000007 |commuTime:1.598290|IO Time:0.000000
rank:451 |send count:6 | recv count: 6 |total Time:3.669680 |compute Time:0.000011 |commuTime:1.583764|IO Time:0.000000
rank:450 |send count:18 | recv count: 21 |total Time:3.669691 |compute Time:0.000015 |commuTime:1.592230|IO Time:0.000000
rank:456 |send count:7 | recv count: 7 |total Time:3.693455 |compute Time:0.000011 |commuTime:1.578562|IO Time:0.000000
rank:457 |send count:6 | recv count: 6 |total Time:3.693403 |compute Time:0.000009 |commuTime:1.569936|IO Time:0.000000
rank:462 |send count:18 | recv count: 18 |total Time:3.702667 |compute Time:0.000012 |commuTime:1.560129|IO Time:0.000000
rank:463 |send count:9 | recv count: 10 |total Time:3.702665 |compute Time:0.000010 |commuTime:1.551634|IO Time:0.000000
rank:469 |send count:4 | recv count: 4 |total Time:3.724436 |compute Time:0.000007 |commuTime:1.539264|IO Time:0.000000
rank:468 |send count:5 | recv count: 5 |total Time:3.724684 |compute Time:0.000014 |commuTime:1.548233|IO Time:0.000000
rank:474 |send count:5 | recv count: 5 |total Time:3.734948 |compute Time:0.000013 |commuTime:1.537377|IO Time:0.000000
rank:475 |send count:11 | recv count: 11 |total Time:3.735035 |compute Time:0.000010 |commuTime:1.528667|IO Time:0.000000
rank:480 |send count:6 | recv count: 6 |total Time:3.758666 |compute Time:0.000009 |commuTime:1.525195|IO Time:0.000000
rank:481 |send count:5 | recv count: 5 |total Time:3.758761 |compute Time:0.000006 |commuTime:1.516518|IO Time:0.000000
rank:486 |send count:9 | recv count: 8 |total Time:3.766562 |compute Time:0.000014 |commuTime:1.513681|IO Time:0.000000
rank:487 |send count:7 | recv count: 7 |total Time:3.766545 |compute Time:0.000010 |commuTime:1.504967|IO Time:0.000000
rank:492 |send count:6 | recv count: 6 |total Time:3.788012 |compute Time:0.000013 |commuTime:1.501551|IO Time:0.000000
rank:493 |send count:27 | recv count: 25 |total Time:3.782295 |compute Time:0.000014 |commuTime:1.489209|IO Time:0.000000
rank:498 |send count:5 | recv count: 7 |total Time:3.804765 |compute Time:0.000015 |commuTime:1.479092|IO Time:0.000000
rank:4 |send count:7 | recv count: 7 |total Time:3.802586 |compute Time:0.000008 |commuTime:3.779302|IO Time:0.000000
rank:2 |send count:6 | recv count: 6 |total Time:3.793534 |compute Time:0.000011 |commuTime:3.788639|IO Time:0.000000
rank:499 |send count:11 | recv count: 11 |total Time:3.796255 |compute Time:0.000008 |commuTime:1.479167|IO Time:0.000000
rank:5 |send count:21 | recv count: 16 |total Time:3.802632 |compute Time:0.000007 |commuTime:3.770709|IO Time:0.000000
rank:14 |send count:7 | recv count: 7 |total Time:3.795493 |compute Time:0.000008 |commuTime:3.734336|IO Time:0.000000
rank:10 |send count:5 | recv count: 5 |total Time:3.794657 |compute Time:0.000012 |commuTime:3.752691|IO Time:0.000000
rank:15 |send count:7 | recv count: 11 |total Time:3.795553 |compute Time:0.000008 |commuTime:3.725458|IO Time:0.000000
rank:23 |send count:11 | recv count: 11 |total Time:3.794134 |compute Time:0.000014 |commuTime:3.689178|IO Time:0.000000
rank:27 |send count:9 | recv count: 9 |total Time:3.794689 |compute Time:0.000011 |commuTime:3.671152|IO Time:0.000000
rank:29 |send count:5 | recv count: 5 |total Time:3.803683 |compute Time:0.000008 |commuTime:3.662392|IO Time:0.000000
rank:39 |send count:9 | recv count: 11 |total Time:3.794363 |compute Time:0.000013 |commuTime:3.617855|IO Time:0.000000
rank:34 |send count:5 | recv count: 5 |total Time:3.794657 |compute Time:0.000012 |commuTime:3.644894|IO Time:0.000000
rank:57 |send count:7 | recv count: 7 |total Time:3.806210 |compute Time:0.000012 |commuTime:3.534741|IO Time:0.000000
rank:53 |send count:6 | recv count: 6 |total Time:3.804341 |compute Time:0.000009 |commuTime:3.553777|IO Time:0.000000
rank:62 |send count:7 | recv count: 7 |total Time:3.793706 |compute Time:0.000008 |commuTime:3.516014|IO Time:0.000000
rank:81 |send count:4 | recv count: 4 |total Time:3.806209 |compute Time:0.000008 |commuTime:3.426230|IO Time:0.000000
rank:11 |send count:19 | recv count: 16 |total Time:3.794785 |compute Time:0.000008 |commuTime:3.743851|IO Time:0.000000
rank:16 |send count:17 | recv count: 17 |total Time:3.806296 |compute Time:0.000015 |commuTime:3.725394|IO Time:0.000000
rank:17 |send count:11 | recv count: 11 |total Time:3.806303 |compute Time:0.000010 |commuTime:3.716344|IO Time:0.000000
rank:35 |send count:4 | recv count: 4 |total Time:3.794807 |compute Time:0.000006 |commuTime:3.636383|IO Time:0.000000
rank:59 |send count:7 | recv count: 7 |total Time:3.795315 |compute Time:0.000010 |commuTime:3.525771|IO Time:0.000000
rank:64 |send count:6 | recv count: 6 |total Time:3.804732 |compute Time:0.000015 |commuTime:3.507003|IO Time:0.000000
rank:65 |send count:4 | recv count: 4 |total Time:3.805025 |compute Time:0.000007 |commuTime:3.498019|IO Time:0.000000
rank:82 |send count:7 | recv count: 7 |total Time:3.793821 |compute Time:0.000013 |commuTime:3.426047|IO Time:0.000000
rank:83 |send count:23 | recv count: 23 |total Time:3.793957 |compute Time:0.000012 |commuTime:3.417489|IO Time:0.000000
rank:3 |send count:9 | recv count: 7 |total Time:3.793973 |compute Time:0.000012 |commuTime:3.779888|IO Time:0.000000
rank:89 |send count:4 | recv count: 4 |total Time:3.805441 |compute Time:0.000007 |commuTime:3.390100|IO Time:0.000000
rank:9 |send count:5 | recv count: 5 |total Time:3.805437 |compute Time:0.000008 |commuTime:3.753084|IO Time:0.000000
rank:95 |send count:12 | recv count: 12 |total Time:3.794820 |compute Time:0.000009 |commuTime:3.362097|IO Time:0.000000
rank:26 |send count:4 | recv count: 4 |total Time:3.794798 |compute Time:0.000009 |commuTime:3.680035|IO Time:0.000000
